ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_field1,Metadata_field1,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_OrigGray,Intensity_IntegratedIntensity_OrigGray,Intensity_LowerQuartileIntensity_OrigGray,Intensity_MADIntensity_OrigGray,Intensity_MassDisplacement_OrigGray,Intensity_MaxIntensityEdge_OrigGray,Intensity_MaxIntensity_OrigGray,Intensity_MeanIntensityEdge_OrigGray,Intensity_MeanIntensity_OrigGray,Intensity_MedianIntensity_OrigGray,Intensity_MinIntensityEdge_OrigGray,Intensity_MinIntensity_OrigGray,Intensity_StdIntensityEdge_OrigGray,Intensity_StdIntensity_OrigGray,Intensity_UpperQuartileIntensity_OrigGray,Location_CenterMassIntensity_X_OrigGray,Location_CenterMassIntensity_Y_OrigGray,Location_CenterMassIntensity_Z_OrigGray,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_OrigGray,Location_MaxIntensity_Y_OrigGray,Location_MaxIntensity_Z_OrigGray,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,1,file:/data/jwd08/main/000/106/626/106626599/working/input/frame_000.png,0,0,frame_000.png,frame_000.png,3724,64.0,103.0,1.0,2.0246126237423847,0.8864145396415685,1.0,0.40368563685636855,0.3367299210498903,125.54439942031885,125.87692401707312,16.64331697709324,6.497081821847272,5.830951894845301,66.09301234419249,58.11353342836578,-73.98851250170765,372.79399999999885,0.6938053097345134,78.27058978378773,1578.8157265633345,0.24705882370471954,0.13333334028720856,8.859186043538392,0.7215686440467834,0.800000011920929,0.2617745477718653,0.4239569620202294,0.3607843220233917,0.14509804546833038,0.14509804546833038,0.13140287974324735,0.19743458288224502,0.6196078658103943,79.39652956025274,65.28474805667777,0.0,76.70032223415681,73.72368421052632,0,83.0,46.0,0.0,1,0.0,0.0,1.0,0.0,1,1,nan,0.0,0,0.0,0.0
1,2,file:/data/jwd08/main/000/106/626/106626599/working/input/frame_000.png,0,0,frame_000.png,frame_000.png,2384,92.0,118.0,1.0,1.9014925962674605,0.9478212018235732,1.0,0.4073820915926179,0.41288025244037463,102.22283448999897,102.6498904042279,14.560219778561036,6.03941763299757,5.656854249492381,36.238658459888896,32.588884830405775,-43.43204282959573,269.36799999999937,0.8286409454292666,54.4392167031765,1114.0784575045109,0.2862745225429535,0.15686273574829102,3.5435256567411737,0.6392157077789307,1.0,0.24633129729944117,0.4673147892216908,0.4156862795352936,0.14509804546833038,0.14509804546833038,0.10341617567388041,0.21293964514176952,0.6274510025978088,85.11751908790492,118.2891971067521,0.0,83.33892617449665,121.35402684563758,0,87.0,113.0,0.0,2,0.0,0.0,1.0,0.0,2,1,nan,0.0,0,0.0,0.0
1,3,file:/data/jwd08/main/000/106/626/106626599/working/input/frame_000.png,0,0,frame_000.png,frame_000.png,9864,223.0,102.0,1.0,1.0648412719497504,0.6232994752760594,1.0,0.6094908551655956,0.5243469266645032,128.6150952276624,135.6244815658294,45.221676218380054,16.044041038410214,14.017834423809099,107.73043970709939,100.57484694480863,22.377898980445735,486.20799999999826,0.8882085453153843,85.1686284840107,3725.8706948738545,0.26274511218070984,0.08627451956272125,6.168010483543616,0.23529411852359772,0.9019607901573181,0.20772836215612364,0.377724117485184,0.3333333432674408,0.1921568661928177,0.019607843831181526,0.007559799885843291,0.15046259958641375,0.4745098054409027,221.46329376684577,100.1558567122639,0.0,215.29724249797243,100.00040551500406,0,258.0,109.0,0.0,3,0.0,0.0,1.0,0.0,3,1,nan,0.0,0,0.0,0.0
2,1,file:/data/jwd08/main/000/106/626/106626599/working/input/frame_001.png,0,0,frame_001.png,frame_001.png,989,190.0,96.0,1.0,1.3562571394483625,0.8654424995344405,1.0,0.5766763848396501,0.6371069271979386,52.2360654446689,48.83646178829912,11.180339887498949,4.74844617179559,4.242640687119285,26.372646280539797,26.17070043551671,16.489634873916163,139.668,0.8547968885047535,33.14509889483452,337.4117723852396,0.27450981736183167,0.06666666269302368,2.0591573281070423,0.43921568989753723,0.5333333611488342,0.29074648153363614,0.34116458279599554,0.34117648005485535,0.18039216101169586,0.18039216101169586,0.07912810196516155,0.0851753692306341,0.40784314274787903,184.6283123697809,92.80194096009569,0.0,182.6299292214358,92.30535894843275,0,190.0,92.0,0.0,1,0.0,0.0,1.0,0.0,1,1,nan,0.0,0,0.0,0.0
2,2,file:/data/jwd08/main/000/106/626/106626599/working/input/frame_001.png,0,0,frame_001.png,frame_001.png,3615,88.0,114.0,1.0,1.17100366271902,0.7582108683543263,1.0,0.607563025210084,0.4462394886680586,86.86443757794726,96.21330469326995,23.706539182259394,8.356109637187844,7.211102550927978,57.402994465314315,56.6364312534504,-34.568035571762884,319.0619999999991,0.8523933034661635,54.07843254506588,1215.8510115146637,0.20392157137393951,0.07450981438159943,3.664737701271198,0.5254902243614197,0.8117647171020508,0.20719705955963938,0.3363349962696165,0.2666666805744171,0.16862745583057404,0.15294118225574493,0.07029627776127978,0.16463379848385035,0.4431372582912445,89.7494533418735,112.97050400609933,0.0,86.10539419087137,112.58174273858921,0,102.0,108.0,0.0,2,0.0,0.0,1.0,0.0,2,1,nan,0.0,0,0.0,0.0
2,3,file:/data/jwd08/main/000/106/626/106626599/working/input/frame_001.png,0,0,frame_001.png,frame_001.png,9024,242.0,105.0,1.0,1.1840165393410969,0.5752073340584393,1.0,0.5526025719534599,0.3340980598439238,127.45831405305417,141.42842712835352,35.77708763999664,11.682424621397425,10.0,103.36029963096296,104.26187652699468,14.359890066913156,582.5959999999977,0.7979838174824248,103.31372775137424,3308.5059712938964,0.24705882370471954,0.10196079313755035,5.562065966033748,0.43921568989753723,0.8784313797950745,0.21257968673122274,0.36663408369834843,0.34117648005485535,0.16078431904315948,0.0235294122248888,0.05844792962821913,0.14258557370680136,0.45490196347236633,227.6652301521446,96.36583065409006,0.0,222.33887411347519,97.96786347517731,0,265.0,109.0,0.0,3,0.0,0.0,1.0,0.0,3,1,nan,0.0,0,0.0,0.0
3,1,file:/data/jwd08/main/000/106/626/106626599/working/input/frame_002.png,0,0,frame_002.png,frame_002.png,2538,236.0,64.0,1.0,1.5786396797302873,0.9101536477481709,1.0,0.5720081135902637,0.5273851654460235,93.19904655912438,91.76055797563569,16.0,6.749746901484614,6.324555320336759,43.72377870571656,38.609648274468086,13.201598677956914,245.9159999999994,0.8261718749999998,51.58431487902999,1008.078458044678,0.30588236451148987,0.09019607305526733,2.4599358690242865,0.4627451002597809,0.6549019813537598,0.25040929552927177,0.39719403390255237,0.40784314274787903,0.0470588244497776,0.0470588244497776,0.08349879340206723,0.11885275583786949,0.4941176474094391,230.9280090960886,69.01140590171435,0.0,228.68242710795903,68.00709219858156,0,257.0,78.0,0.0,1,0.0,0.0,1.0,0.0,1,1,nan,0.0,0,0.0,0.0
3,2,file:/data/jwd08/main/000/106/626/106626599/working/input/frame_002.png,0,0,frame_002.png,frame_002.png,4696,209.0,110.0,1.0,1.1939676467301414,0.7886651221084208,1.0,0.5566619250829777,0.5461236453305789,101.64673147895537,110.01818031580054,28.284271247461902,10.25711845080797,9.0,67.53353449960785,62.49474870557195,5.777596520957496,328.7179999999991,0.859129162092938,63.917648636270314,1607.9020008523948,0.250980406999588,0.08627450466156006,4.399061769839185,0.41960784792900085,0.6784313917160034,0.23939194245794126,0.34239821142512666,0.3333333432674408,0.003921568859368563,0.003921568859368563,0.0710783483321477,0.10782326701272518,0.41960784792900085,205.8340475651779,103.1602380467244,0.0,201.72402044293014,104.72849233390119,0,212.0,95.0,0.0,2,0.0,0.0,1.0,0.0,2,1,nan,0.0,0,0.0,0.0
3,3,file:/data/jwd08/main/000/106/626/106626599/working/input/frame_002.png,0,0,frame_002.png,frame_002.png,3366,110.0,109.0,1.0,1.2817920575860307,0.8320799445233038,1.0,0.5054054054054054,0.2964157209349783,91.54620178320879,97.57561170702442,19.79898987322333,6.758499096573433,5.656854249492381,51.42956348249516,50.77662431423896,-35.8731015730932,377.7559999999988,0.8376259798432251,62.01960900425911,1130.235321931541,0.2078431397676468,0.0784313827753067,1.799921854310735,0.4431372582912445,1.0,0.19941996464391998,0.3357799530396735,0.2705882489681244,0.16470588743686676,0.11372549086809158,0.03956542680961315,0.15686621379734592,0.4313725531101227,99.83333682913754,113.15210783001766,0.0,98.0496137849079,112.91117052881759,0,92.0,125.0,0.0,3,0.0,0.0,1.0,0.0,3,1,nan,0.0,0,0.0,0.0
3,4,file:/data/jwd08/main/000/106/626/106626599/working/input/frame_002.png,0,0,frame_002.png,frame_002.png,2634,265.0,111.0,1.0,2.0991100387174693,0.9567415941335636,1.0,0.299761010583817,0.314779712472931,113.76176811994716,120.41594578792295,15.556349186104045,5.907021659611813,5.0,37.69539524757436,33.097739030462016,-43.86649870063298,324.2719999999989,0.7571141132509343,57.149020835757256,860.3098267167807,0.23529411852359772,0.0784313827753067,1.862885382565652,0.46666666865348816,0.615686297416687,0.22150783269673355,0.3266172462857937,0.3019607961177826,0.1725490242242813,0.1725490242242813,0.0584782089479668,0.11045197765782375,0.40392157435417175,262.4400649287956,113.14296717919923,0.0,261.4840546697039,114.74183750949126,0,274.0,101.0,0.0,4,0.0,0.0,1.0,0.0,4,1,nan,0.0,0,0.0,0.0
